State ,Clinic Name,District,Clinic Address,Lat/Long,Designation (SPC/DPC),"Clinic Status (Active/
Inactive)"
Andhra Pradesh,SMC - Vijayawada - Wednesday,NTR ,"Room No. 8B, OP Building, Government General Hospital, (SMC), GM8C+H4R, NH16 Service Road, Beside NTR Health University, Ring Road, Gunadala, NTR District Vijayawada  A.P PIN - 520008. ",,SPC,Active
Andhra Pradesh,KGH - Visakhapatnam - Friday,Visakhapatnam,"OP  No. 10, King George Hospital, Maharani Peta, Near Jagadamba, Visakhapatnam, A.P PIN - 530002.",,DPC,Active
Andhra Pradesh,SVRRGGH - Tirupati - Thursday,Tirupati,"Ortho Dept, Room No. 3, SVRRG Tirupati, CURE International India Trust, Alipiri Road, Tirupati District, Andhra Pradesh PIN - 517501. ",,DPC,Active
Andhra Pradesh,RCDH - Visakhapatnam - Thursday,Visakhapatnam,"OP Block, Rani Chandramani Devi Hospital, Near Peda Waltair, Bio Daiversity Park, Mantal  Hospital Back side, Peda Wltair, Visakhapatnam, AP - 530017.",,DPC,Active
Andhra Pradesh,SMC - Vijayawada -  Tuesday,NTR ,"Room No. 8B, OP Building, Government General Hospital, (SMC), GM8C+H4R, NH16 Service Road, Beside NTR Health University, Ring Road, Gunadala, NTR District Vijayawada A.P PIN - 520008.",,SPC,Active
Andhra Pradesh,GGH - Kakinada - Thursday,East Godavari,"Government General Hospital, OP Block,  Room No - 09, Ortho Department, Zilla Parishad Road, Near Old Bustand, Kakinada, AP - 533001",,DPC,Active
Andhra Pradesh,GGH - Kakinada - Friday,East Godavari,"Government General Hospital, OP Block,  Room No - 09, Ortho Department, Zilla Parishad Road, Near Old Bustand, Kakinada, AP - 533001",,DPC,Active
Andhra Pradesh,RIMS - Ongole - Friday,Prakasam,"Rajiv Gandhi Institute of Medical Sciences, Ongole, Bhaghya Nagar, 5th Line, Ongole, Prakasam District, A. P - 523001.",,DPC,Active
Andhra Pradesh,ACSR - Nellore - Thursday,Nellore,-,,-,Inactive
Andhra Pradesh,AH - Rampachodavaram - Tuesday,Alluri Sitarama Raju ,"District Hospital, (GGH - Eluru), R.R. Peta Main Road, Eluru District, Andhra Pradesh  PIN - 534006.",,-,Inactive
Andhra Pradesh,GGH - Anatapur - Wednesday,Anantapur,"OP No.9, Opp DM&HO Office, Government General Hospital, Aravind Nagar, Anantapur, A.P - 515101.",,DPC,Active
Andhra Pradesh,GGH - Kurnool - Friday ,Kurnool,"OP No. 06, Ortho, Government General Hospital, Kurnool, Budavarapupeta, Kurnool, A.P - 518002.",,DPC,Active
Andhra Pradesh,GGH - Guntur - Wednesday,Guntur,"Government General Hospita, Railway Station Opp, Rail pet, Guntur District, A.P - 522004.",,DPC,Active
Andhra Pradesh,GGH - Guntur - Thursday,Guntur,"Government General Hospita, Railway Station Opp, Rail pet, Guntur District, A.P - 522004.",,DPC,Active
Andhra Pradesh,RIMS - Kadapa - Thursday,Kadapa,"OP Block, Rajiv Gandhi Institute of Medical Sciences, Puttampalli Area, Kadapa, Kapada District, AP -  516002.",,DPC,Active
Andhra Pradesh,RIMS - Srikakulam - Wednesday,Srikakulam,-,,-,Inactive
Andhra Pradesh,Government General Hospital - Vizianagaram - Thursday,Vizianagaram,"OP No.07, Ortho Department, MR Government Hospital, Vizianagaram, Vizianagaram District, A.P - 535002.",,DPC,Active
Andhra Pradesh,District Hospital - Anakapalli - Tuesday,Anakapalli,-,,-,-
Andhra Pradesh,District Hospital - Narsipatnam - Monday,Narsipatnam,-,,-,-
Andhra Pradesh,Government General Hospital - Eluru - Friday,Eluru,"District Hospital, (GGH - Eluru), R.R. Peta Main Road, Eluru District, Andhra Pradesh  PIN - 534006.",,SPC,Active
Andhra Pradesh,Government General Hospital - Chittoor - Wednesday,Chittoor,"Government General Hospital, Church Street, Thendabanda Dargah, Chittoor District , A.P - 517001.",,DPC,Active
Andhra Pradesh,Government General Hospital - Machilipatnam - Monday,Krishna,"OP Block - 06,Government General Hospital,  Noble Road, Machilipatnam, Krishna District, AP - 521001.",,DPC,Active
Andhra Pradesh,Area Hospital - Bapatla - Monday,Bapatla,"Bapatla Area Hospital, Railwaystation opp, Sathyanarayanapuram, Bapatla District, AP - 522101",,DPC,Active
Arunachal Pradesh,"Tomo Riba Institute of Health and Medical Sciences, Naharlagun, ",Papum Pare, TRIHMS Naharlagun Arunachal Pradesh 791110,,SPC,Active
Assam,"Guwahati Medical College & Hospital, Guwahati",Kamrup ,"Guwahati Medical College and Hospital, Guwahati, Assam, India ",,SPC & DPC,Active 
Assam,"Assam Medical College & Hospital, Dibrugarh",Dibrugarh ,"Assam Medical College and Hospital, Dibrugarh, Assam, India ",,DPC,Active 
Assam,"Silchar Medical College & Hospital, Silchar",Cachar,"Silchar Medical College and Hospital, Silchar",,DPC,Active 
Assam,"Tezpur Medical College & Hospital, Tezpur",Sontipur ,"Tezpur Medical College and Hospital, Tezpur, Assam, India ",,DPC,Active 
Assam,"Jorhat Medical College & Hospital, Jorhat",Jorhat ,"Jorhat Medical College and Hospital, Jorhat, Assam, India ",,DPC,Active 
Bihar,"PMCH,Patna",Patna ,child ward orthopaedic department patna medical College and hospital ,,SPC,Active 
Bihar,"NMCH, Patna",Patna ,orthopaedic OPD Ground floor Nmch patna ,,DPC,Active 
Bihar,"JLNMCH, Bhagalpur",Bhagalpur ,Orthopaedic OPD Ground floor Jlnmch bhagalpur ,,DPC,Active 
Bihar,"DMCH, Darbhanga",Darbhanga ,cure clubfoot dmch behind skin wardnear Nasha Mukti kendra ,,DPC,Active 
Bihar,"ANMCH, Gaya",Gaya,Orthopaedic OPD near main emergency annmch gaya,,DPC,Active 
Bihar,"SADAR, Hajipur",Hajipur ,child ward orthopaedic OPD haipur sadar hospital ,,SPC,Active 
Bihar,"IGIMS, Patna",Patna,Main emergency child ot IGIMS patna,,DPC,Active 
Chandigarh,"Govt Medical College & Hospital, Chandigarh, Sec -32",Chandigarh,"GMCH-32, CHANDIGARH",,SPC,Active 
Chandigarh,"CH, Post Graduate Institute of Medical Education and Reasearch, Sec 12",Chandigarh,"PGIMS-SECTOR 12,Chandigarh",,SPC,Active 
Chhattisgarh,"Medical College ,Raipur",Raipur,"Jail Road,Moudhapara,Raipur,Chhattisgarh-492001",,DPC,Active
Chhattisgarh,"Medical College and Hospital, Jagdalpur",Jagdalpur,"GMC Jagdalpur,Dimrapal,Jagdalpur,Chhattisgarh-494001",,DPC,Active
Chhattisgarh,"District Hospital ,Bilaspur,CG ",Bilaspur,"District Hospital,Near Old Bus Stand,Bilaspur",,DPC,Active
Chhattisgarh,"Medical College and Hospital, Rajnandgaon",Rajnandgaon,"GMC ,Pendri,Rajnandgaon,Chhattisgarh",,DPC,Active
Chhattisgarh,"District Hospital ,Raipur,CG",Raipur,"3rd Floor,Opp-DEIC,District Hospital,Byron Bazar,Janta Colony,Raipur,Chhattisgarh-492001",,DPC,Active
Chhattisgarh,Dhamtari,Not Functional,Not Fuctional,,,Inactive
Chhattisgarh,Indra Gnadhi District Hospital  Korba,Korba,"District Hospital,Rajgamar Road,Near Ind Area,Korba,Chhattisgarh",,DPC,Active
Chhattisgarh,"Medical College and Hospital, Ambikapur",Ambikapur,"District Hospital,Ambikapur,Surguja,Chhattisgarh",,,Inactive
Chhattisgarh,District Hospital Raigarh,Raigarh,"Kirodimal District Hospital,Nayaganj,Raigarh,Chhattisgarh,496001",,DPC,Active
Chhattisgarh,"Medical College ,Raipur, Friday",Raipur,"Jail Road,Moudhapara,Raipur,Chhattisgarh-492001",,DPC,Active
Chhattisgarh,"District Hospital, Durg",Durg,"District Hospital,Pachripara,Durg",,DPC,Active
Chhattisgarh,"Medical College and Hospital, Rajnandgaon, Saturday",Rajnandgaon,"GMC ,Pendri,Rajnandgaon,Chhattisgarh",,DPC,Active
Chhattisgarh,"Medical College ,Raipur, Wednesdsay",Raipur,"Jail Road,Moudhapara,Raipur,Chhattisgarh-492001",,DPC,Active
Chhattisgarh,"District Hospital ,Janjgir Champa",Champa,,,,Inactive
Chhattisgarh,AIIMS Hospital Raipur,Raipur,"1st Floor,D-Block,Ortho OPD,Gate No 4,Oppo Gurudwara,Tatiband,Raipur,Chhattisgarh,492099",,SPC,Active
Chhattisgarh,"District Hospital , Jashpur",Jashpur,,,,Inactive
Chhattisgarh,"District Hospital, Kawardha",Kawardha,"District Hospital,Kawardha,Chhattisgarh-491995",,DPC,Active
Chhattisgarh,"District Hospital, Bijapur",Bijapur,"District Hospital,Bijapur,Chhattisgarh",,,-
Delhi,Kalawati (Wed),Central Delhi,Kalawati Saran Hospital new delhi 110001,POINT (77.210864223727 28.63590825914862),DPC,Active
Delhi,CNBC (Wednesday),East Delhi,"Chacha Nehru Bal Chikitsalaya,Geeta Colony New Delhi-110031",POINT (77.26869418139758 28.65301672039303),ASPC,Active
Delhi,Kalawati (Friday),Central Delhi,Kalawati Saran Hospital new delhi 110001,POINT (77.210864223727 28.63590825914862),DPC,Active
Delhi,St. Stephen's (Wed),North East Delhi,"St Stephen Hospital,Tis Hazari marg New Delhi 110054",POINT (77.21445711874273 28.67010662589294),DPC,Active
Delhi,Maharishi Valmiki (Thursday),North West Delhi,"Maharishi Valmiki Hospital ,Puth Khurd New Delhi-110039",POINT (77.21838617715096 28.677983025248423),,Active
Delhi,Deen Dayal Upadhyay Hospital (Mon),West Delhi,"Deen Dayal Upadhyay Hospital,Hari Nagar New Delhi-110064",POINT (77.11229629489027 28.628186485539718),ASPC,Active
Delhi,Safdarjung (Thursday),South Delhi,"Safdarjung Hospital,Ansari nagar East New Delhi-110029",POINT (77.23691615256156 28.63931755133124),ASPC,Active
Delhi,LNJP (Fri),Central Delhi,"Lok Nayak Hospital,Delhi Gate New Delhi-110002",POINT (77.23691615256156 28.63931755133124),Volunteer,Active
Delhi,AIIMS (Friday),South Delhi,"All India Institute Of Medical Science ,Sri Aurobindo Marg,Ansari Nagar East New Delhi-110029",POINT (77.20998072641311 28.567742759028594),ASPC,Active
Delhi,CNBC (Thursday),East Delhi,"Chacha Nehru Bal Chikitsalaya,Geeta Colony New Delhi-110031",POINT (77.26869418139758 28.65301672039303),DPC,Active
Delhi,Kalawati (Mon),Central Delhi,Kalawati Saran Hospital new delhi 110001,POINT (77.210864223727 28.63590825914862),DPC,Active
Delhi,SSPGTI ,Noida,"Post Graduate Insitute Of Child Health Sector-30, Noida-201303","28.57718830114581, 77.33768769987536",Volunteer,Active
Delhi,BKCH,Haryana,"Baadshah Khan Civil Hospital,Bk Chowk, Faridabad, Haryana-121006","28.39396286257089, 77.29829728504167",,InActive
Delhi,"C.H, Gurgoan",Haryana,"Poly Clinic Sector 31,Gurugram Haryana-12202","28.4783313153449, 77.03431961389037",DPC,Active
Delhi,Maharaja Agrasen Hospital,West Delhi,"Maharaja Agrasen Hospital,Punjabi Bagh  New Delhi-110026","28.67433948261137, 77.13399019632512",,InActive
Delhi,GTB THU,East Delhi,"Guru Teg Bahadur Hospital,GTB Enclave Dilshad Garden New Delhi-110095","28.690400275023276, 77.3092620713984",DPC,Active
Delhi,GTB FRI,East Delhi,"Guru Teg Bahadur Hospital,GTB Enclave Dilshad Garden New Delhi-110095","28.690400275023276, 77.3092620713984",DPC,Active
Gujarat,"Civil Hospital, Ahmedabad - Monday",Ahmedabad," Ahmedabad Civil Hospital ,Haripura,Asarava,Gali no-2,OPD no-2, Orthopedic Department,",,DPC,Active
Gujarat,"Civil Hospital, Ahmedabad - Friday",Ahmedabad," Ahmedabad Civil Hospital ,Haripura,Asarava,Gali no-2,OPD no-2, Orthopedic Department,",,DPC,Active
Gujarat,"Civil Hospital, Ahmedabad - Wednesday",Ahmedabad," Ahmedabad Civil Hospital ,Haripura,Asarava,Gali no-2,OPD no-2, Orthopedic Department,",,DPC,Active
Gujarat,"P.D.U. Hospital, Rajkot - Monday",Rajkot,"PDU Hospital Rajkot,Jamnagar Road ,OPD no-7 Orthopedic Department",,DPC,Active
Gujarat,"P.D.U. Hospital, Rajkot - Friday",Rajkot,"PDU Hospital Rajkot,Jamnagar Road ,OPD no-7 Orthopedic Department",,DPC,Active
Gujarat,"P.D.U. Hospital, Rajkot - Wednesday",Rajkot,"PDU Hospital Rajkot,Jamnagar Road ,OPD no-7 Orthopedic Department",,DPC,Active
Gujarat,"New Civil Hospital, Surat - Friday",Surat,"New Civil Hospital Surat ,orthopadic Department ,OPD no-6,Majauragate",,Paid Volunteer,Active
Gujarat,"New Civil Hospital, Surat - Thursday",Surat,"New Civil Hospital Surat ,orthopadic Department ,OPD no-6,Majauragate",,Paid Volunteer,Active
Gujarat,"S.S.G. Hospital, Vadodara - Tuesday",Vadodara,"SSG Hospital Vadodara,Ortho OPD -3 ,Jail Road",,DPC,Active
Gujarat,"New Civil Hospital, Surat - Wednesday",Surat,"New Civil Hospital Surat ,orthopadic Department ,OPD no-6,Majauragate",,Paid Volunteer,Active
Gujarat,"G.G. Hospital, Jamnagar - Tuesday",Jamnagar,"G.G.G. Hospital Jamnagar ,Ortho OPD Room no-10",,DPC,Active
Gujarat,"S.S.G. Hospital, Vadodara - Wednesday",Vadodara,"SSG Hospital Vadodara,Ortho OPD -3 ,Jail Road",,DPC,Active
Gujarat,"G.G. Hospital, Jamnagar - Monday",Jamnagar,"G.G.G. Hospital Jamnagar ,Ortho OPD Room no-10",,DPC,Active
Gujarat,"Sir T. Hospital, Bhavnagar - Thursday",Bhavnagar,"Sir T Hospital Bhavnagar ,Kalanala orthopadic OPD 53.",,DPC,Active
Gujarat,"Sir T. Hospital, Bhavnagar - Wednesday",Bhavnagar,"Sir T Hospital Bhavnagar ,Kalanala orthopadic OPD 53.",,DPC,Active
Gujarat,"S.S.G. Hospital, Vadodara - Monday",Vadodara,"SSG Hospital Vadodara,Ortho OPD -3 ,Jail Road",,DPC,Active
Gujarat,"G.G. Hospital, Jamnagar - Wednesday",Jamnagar,"G.G.G. Hospital Jamnagar ,Ortho OPD Room no-10",,DPC,Active
Gujarat,"Sir T. Hospital, Bhavnagar - Tuesday",Bhavnagar,"Sir T Hospital Bhavnagar ,Kalanala orthopadic OPD 53.",,DPC,Active
Gujarat,"GMERS Medical College & Hospital, Valsad - Wednesday",Valsad,"GMERS Hospital Valsad ,Halar Road ,Nanakwada-396001",,DPC,Active
Gujarat,"GMERS Medical College & Hospital, Valsad - Thursday",Valsad,"GMERS Hospital Valsad ,Halar Road ,Nanakwada-396001",,DPC,Active
Gujarat,"Gujarat Adani Institute of Medical Sciences & Hospital, Bhuj-Kutch - Friday",Kutch,Gujarat Adani institute of Madical Science & Hospital(GK General Hospital Bhuj room no-40),,DPC,Active
Gujarat,"GMERS Medical College & Hospital, Gandhinagar - Tuesday",Gandhinagr,"Gandhinagar Civil Hospital,Orthopadic Opd,Block -A,Sector 12B -382016",,DPC,Active
Gujarat,"Civil Hospital, Palanpur - Friday",Banaskantha,"Palanpur civil hospital,Saak Market ,ortho opd -23",,DPC,Active
Gujarat,"GMERS Medical College & Hospital, Junagadh - Tuesday",Junagadh,"Majevdi Gate oppsite Civil Hospital Junagadh,ortho opd-102",,Paid Volunteer,Active
Gujarat,"GMERS Medical College & Hospital, Himmatnagar - Wednesday",Sabarkantha,"hadiyol Road ,near Politecnic collage ,Sahkari jim,ortho opd-8",,DPC,Active
Gujarat,"GMERS Medical College & Hospital, Dharpur - Patan - Wednesday",Patan,"GMERS Hospital Dharpur ,Patan (N.G) -384265",,DPC,Active
Gujarat,"Civil Hospital, Dahod - Tuesday",Dahod,Zydus madical collage  and Hospital Dahod,,DPC,Active
Gujarat,"Civil Hospital, Dahod - Friday",Dahod,Zydus madical collage  and Hospital Dahod,,DPC,Active
Gujarat,"GMERS Medical College & Hospital, Junagadh - Friday",Junagadh,"Majevdi Gate oppsite Civil Hospital Junagadh,ortho opd-102",,Paid Volunteer,Active
Gujarat,"Civil Hospital, Deesa",Banaskantha,"Civil hospital Deesa ,nr bagicha stop ,main bajar ,ta-Deesa,Dist-Banaskantha-385535",,DPC,Active
Gujarat,"Civil Hospital, Nadiad - Saturday",Kheda,JZHMN civil hospital road Nadiad -387001,,Paid Volunteer,Active
Gujarat,"Civil Hospital, Godhra - Wednesday",Panchmahal,"GMERS Civil Hospital Godhara ,Orthopedic Opd no-8,Opposite Emergency Gate",,DPC,Active
Gujarat,"Civil Hospital, ChhotaUdepur - Tuesday",Chhotaudaipur,"General Hospital Chhotaudaipur,Ortho opd .",,DPC,Active
Gujarat,"Civil Hospital, Bharuch - Wednesday",Bharuch,General Hospiatal Bharuch.(KMCRI Medical Collage)Ortho opd no-3,,DPC,Active
Gujarat,"Civil Hospital, Mehsana - Monday",Mahesana,"General Hospital Mehsana .near old busstand,ortho opd-M-13",,DPC,Active
Gujarat,"Civil Hospital, Amreli - Tuesday",Amreli,"Behind ST Depo,Shantabaa General hospital Amreli-365601",,DPC,Active
Gujarat,"Civil Hospital, Vyara - Friday",Tapi,"General Hospital ,Opp daxinapath Vidhyalaya vyara Tapi-394655",,DPC,Active
Gujarat,"GMERS Hospital, Gotri",Vadodara,"GEMERS Hospital Gotri ,Ortho OPD -3,Vadodara",,DPC,Active
Gujarat,"State Hospital, Dharampur, Valsad",Valsad,"State hospital Dharampur ,tran darvaja ,Garden road dharampur Valsad ",,DPC,Active
Gujarat,"GMERS Medical college & Hospital, Sola, Ahmedabad",Ahmedabad,"Sola civil Hospital,Block -A,Room no-3,ortho opd",,DPC,Active
Gujarat,"GMERS Medical college & Hospital, Vadnagar, Friday",Mahesana,"GMERS General Hospital , Vadnagar, ortho opd First floor",,DPC,Active
Gujarat,"Civil Hospital, Petlad, Tuesday",Anand,"S.S.Hospital Petlad -388450,ortho opd ",,Paid Volunteer,Active
Gujarat,"Civil Hospital, Navsari, Tuesday",Navsari,M.G.G.General Hospital opp jahangir talkies Navsari-396445,,DPC,Active
Gujarat,"General Hospital, Ahwa",Ahwa Dang,"General Hospital Ahwa ,Gandhi colony ,ta-Ahwa ,Di-Dang -394710",,DPC,Active
Gujarat,"General Hospital, Morbi",Morbi,"General Civil Hospital Morbi,ortho opd-7",,DPC,Active
Gujarat,"General Hospital, Rajpipla",Narmada,"General Hospital rajpila ,vadia palace ,ortho opd-12",,DPC,Active
Gujarat,Government Hospital Veraval,Veraval,Government Hospital Veraval,,Paid Volunteer,InActive
Gujarat,Narendra Modi Medical College L.G Municipal General Hospital Ahmedabad,Ahmedabad,"Narendra Modi Medical College L.G Municipal General Hospital Ahmedabad,First floor ortho opd.near Adani CNG Pump",,SPC,Active
Gujarat,Government Hospital Gandhidham Rambagh Kutch,Kutch,Gandhidham Rambag Hospital ortho opd-7,,DPC,Active
Haryana,"Civil Hospital, Panchkula",Haryana,"sector-6,panchkula-HR",,SPC,Active
Haryana,"Maharaja Agrasen Civil Hospital, Hisar",Haryana,Hisar- Bus stand,,DPC,Active
Haryana,"Pandit Bhagwat Dayal Sharma Post Graduate Institute of Medical Sciences, Rohtak",Haryana,PGIMS-Rohtak,,DPC,Active
Haryana,"Chaudhary Bansilal Civil Hospital, Bhiwani",Haryana,Civil hospital- Bhiwani,,DPC,Active
Himachal Pradesh,"Indira Gandhi Medical College, Shimla, Wednesday ",Shimla,"IGMC-SHIMLA, HIMACHAL",,DPC,Active
Himachal Pradesh,"Dr. Rajendra Prasad Govt Medical College, Kangra, Tuesday",kangra,"DR-RPGMC, TANDA",,DPC,-
Himachal Pradesh,"Indira Gandhi Medical College, Shimla, Monday",Shimla,"IGMC-SHIMLA, HIMACHAL",,DPC,Active
Himachal Pradesh,"Dr. Rajendra Prasad Govt Medical College, Kangra, Friday",kangra,"DR-RPGMC, TANDA",,DPC,Active
Jammu Kashmir,JLNM District Hospital ,Srinagar ,Rainawari ,,SPC,Active 
Jammu Kashmir,"GMC bakshi nagar jammu, Friday ",Jammu,"govt Medical college Bakshinagar Jammu , JK 180001",,DPC,Active 
Jammu Kashmir,"SKIMS Medical college and Hospital, Thursday ",Srinagar,SKIMS MC Bemina,,SPC,Active 
Jammu Kashmir,"GMC bakshi nagar  jammu, Thursday ",Jammu,"govt Medical college Bakshinagar Jammu , JK 180001",,DPC,Active 
Jammu Kashmir,"GMC bakshi nagar jammu, Wednesday ",Jammu,"govt Medical college Bakshinagar Jammu , JK 180001",,DPC,Active 
Jammu Kashmir,District Hospital Gandhi Nagar monday,Jammu,"District hospital Gandinagar Jammu, JK 180004",,DPC,Active 
Jammu Kashmir,"Bone and Joint Hospital, Tuesday ",Srinagar ,Bone and joint Surgery Hospital barzullah ,,DPC,Active 
Jammu Kashmir,"Bone and Joint Hospital, Wednesday",Srinagar,Bone and joint Surgery Hospital barzullah ,,DPC,Active 
Jammu Kashmir,"Bone and Joint Hospital, Thurday ",Srinagar,Bone and joint Surgery Hospital barzullah ,,DPC,Active 
Jammu Kashmir,"District Hospital Anantnag, Saturday",Anantnag,Govt District Hospital Anantnag ,,DPC,Active 
Jammu Kashmir,"District Hospital Anantnag, Friday",Anantnag,Govt District Hospital Anantnag ,,DPC,Active 
Jammu Kashmir,"Bone and Joint Hospital, Friday",Srinagar,Bone and joint Surgery Hospital barzullah ,,DPC,Active 
Jharkhand,"RIMS, Ranchi - Fri",Ranchi ,RIMS Ranchi ,,SPC,Active 
Jharkhand,"District Hospital, Ranchi",Ranchi ,Main road Ranchi ,,SPC,Active 
Jharkhand,"RIMS, Ranchi, Tuesday",Ranchi ,RIMS Ranchi ,,SPC,Active 
Jharkhand,"RIMS, Ranchi, Wednesday",Ranchi ,RIMS Ranchi ,,SPC,Active 
Karnataka,Sparsh Hospital-Bangalore,Bangalore Urban,Nil,,Nil,Nil
Karnataka,Indira Gandhi Institute of Child Health-Bangalore,Bangalore Urban,"Indira Gandhi institute of child health
CURE clubfoot clinic ,Orthopedic Department,
WHPR+XR3, 1st Block, Siddapura, Jayanagar, Bengaluru, Karnataka-560029",POINT (77.59206852272833 12.937591717056408),DPC,Active 
Karnataka,Victoria Hospital-Bangalore,Bangalore Urban,"City Market, Fort Road, Bengaluru, Karnataka 560002",POINT (77.57541979660013 12.965939330486481),DPC,Active 
Karnataka,St. Jhon’s Hospital Bangalore,Bangalore Urban,"St. John’s National Academy of Health Sciences,
Sarjapur Road, Bangalore - 560034
, Karnataka, India.",POINT (77.6011429451913 13.071838036895645),DPC,Active 
Karnataka,Vijayanagar Institute of Medical Science -Bellary,Bellary,"Contonment, Bellary  Karnataka, India, Vijayanagara, India 583104,",POINT (76.89670122277522 15.153175713113498),DPC,Active 
Karnataka,Belagavi Institute of Medical Science -Belagavi,Belagavi,"Dr B R Ambedkar Road, Sadashiv Nagar, Belagavi - 590001, Karnataka

",POINT (74.51157999256824 15.870685862971738),DPC,Active 
Karnataka,KIMS-Hubli,Hubballi,Nil,POINT (75.13242109561446 15.363065997595728),Nil,Nil
Karnataka,MRMC-Kalaburagi,Kalaburagi,"Basaveshwar Teaching & General Hospital Sedam Road, Kalaburagi Karnataka, Gulbarga, Karnataka 585105","17.326451698062332, 76.85395382883573",DPC,Active 
Karnataka,Hassan Institute of Medical Science -Hassan,Hassan,"S.c. Hospital, Hassan, Karnataka 573201",POINT (76.11031634068489 13.10195977263058),DPC,Active 
Karnataka,MMCRI-Mysore,Mysore,"Krishna Rajendra Hospital
Irwin Road, Devaraja Mohalla, Near Government College Of India Medicine And Hospital, Yadavagiri, Mysuru, Karnataka 570001",POINT (76.63414987819186 12.37991660310443),DPC,Active 
Karnataka,Wenlock District Hospital-Mangalore,Mangalore,"Wenlock District Hospital
NG Road, Near Milagres Church, Bunder, Mangaluru, Karnataka 575001",POINT (74.84319537258531 12.86753466146709),DPC,Active 
Karnataka,CIMS -Chamarajanagar,Chamarajanagara,"Chamarajanagar Institute of Medical Sciences (CIMS),
Survey No.124,
Yadapura Village, Kasaba Hobli
Chamarajanagar Taluk & District - 571 313","11.901594109837443, 76.90453119259888",DPC,Active 
Kerala,"Medical College Hospital, Alappuzha - Monday",Alappuzha,Cure India Cluboot Clinic                                                                                                     T.D Medical College Vandanam NH-66 Alappuzha Dist.688005,POINT (76.34786639777295 9.417261042122943),Volunteer,Active
Kerala,"Medical College Hospital,Trivandrum-Monday",Trivandrum,"Cure India Clubfoot Clinic                           Room No: 248 Paediatric Orthopedics,  Ortho Op, OP Block Govt. Medical College  Hospital, Trivandrum Pin: 695011",POINT (76.92839462421757 8.52383865837313),ASPC,Active
Kerala,"Medical College Hospital, Trivandrum - Friday",Trivandrum,"Cure India Clubfoot Clinic                           Room No: 248 Paediatric Orthopedics,  Ortho Op, OP Block Govt. Medical College  Hospital, Trivandrum Pin: 695011",POINT (76.92839462421757 8.52383865837313),ASPC,Active
Kerala,"Medical College Hospital,Trivandrum-Thursday",Trivandrum,"Cure India Clubfoot Clinic                           Room No: 248 Paediatric Orthopedics,  Ortho Op, OP Block Govt. Medical College  Hospital, Trivandrum Pin: 695011",POINT (76.92839462421757 8.52383865837313),ASPC,Active
Kerala,"Medical College Hospital, Kottayam - Tuesday",kottayam,"Cure Clubfoot clinic   Govt. Medical College Hospital, Gandhi Nagar Arpookara Kottayam- 606008",POINT (76.52084242471939 9.632754905589715),DPC,Active
Kerala,"Medical College Hospital, Calicut - Friday",Kozhikode,"Cure India Clubfoot Clinic                          GMCH kozhikode, Department of Orthopaedic, Kozhikode-673008",POINT (75.83881161458719 11.275496716954898),DPC,Active
Kerala,"Medical College Hospital, Alappuzha - Wednesday",Alappuzha,Cure India Cluboot Clinic                                                                                                     T.D Medical College Vandanam NH-66 Alappuzha Dist.688005,POINT (76.34786639777295 9.417261042122943),Volunteer,Active
