What organisation do you work for or are affiliated with?,"What country does the data you are providing relate to?
Please note that we are only collecting data from lower and middle income countries.",Please select the statement which most closely describes how clubfoot service delivery is coordinated in your country.,At what level is the Ministry of Health (MoH) or other government department involved with the provision of treatment in your country?  Please tick all that apply,Adequate numbers of trained clinic staff,Designated clinic space in government hospitals,Treatment materials (casting and tenotomy supplies) provided by government and readily available,FABs are available when and where needed,FABs are of high quality,"FABs are free, subsidized, or have low-fees",Ponseti Method is included in relevant pre-service curricula (at universities or educational insitutions),Training plan is in place to prepare new providers (to cover new clinics or staff turn-over),A local team of trainers is in place and available to train new providers,EDR systems for clubfoot are in place in primary care and maternity settings,Labor and delivery staff trained to identify and refer clubfoot at birth ,Relevant healthcare workers receive pre-service EDR training,What are the main referral sources are you receiving patients from (please select top 3 referral sources):,"Please provide any further information or explanation to extent to which coordination, treatment provision, FABs, workforce development or EDR are integrated within the health system.",Disability,Newborn health,Early childhood development,Rehabilitation,Birth defects,Primary care,Assistive Technology,Other,"Please provide additional information about policies or strategies that have included clubfoot service delivery, including any policies not listed above.","NGO/external support. Which aspects of clubfoot service delivery are supported with finance or resource by the NGOs, if any?
Please tick all that apply",To what extent is the aforementioned aspects of clubfoot delivery supported financially or otherwise by NGOs,Please provide any additional information you would like about NGO support of aspects of clubfoot service delivery,What are the biggest or most common challenges you are facing in providing a clubfoot programme in your country?,"Are you providing data on the whole country, or a different area?
(If you answered 'region' 'group or network of clinics' or 'single clinic', please state the name  in the 'Other'  field below.)",Please tell us how many active clinic(s) in 2023 you are providing data from:,"In 2023, how many new children with clubfoot started Ponseti treatment in the clinics that you are reporting on (please provide a total for all clinics)?",0-1 years,1-2 years,2-3 years,3-4 years,4-5 years,5-10 years,10-15 years,15+ years,Does your clubfoot programme support treatment of the following age groups:,"In 2023, what percentage of children who started Ponseti casting received less than 8 casts prior to starting Foot Abduction Bracing? (if known)","In 2023, what percentage of children who completed Ponseti casting also received an Achilles' tendon tenotomy? (if known)","In 2023, how many children started their first foot abduction brace in the clinics that you are providing data from?","In 2023, how many children completed 2 (two) years of foot abduction bracing in the clinics that you are providing data from?","In 2023, how many children completed 4 (four) years of foot abduction bracing in the clinics that you are providing data from? (if known - if not known, please enter 'not known' below)"
Afghanistan,Afghanistan,Don't know,Don't know;,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Insufficients,Don't know,Don't know,Maternity hospitals or units;Other patients (word of mouth);,"in fact, in our ICRC clinics all services are provided for CF cases without ministry of health support. ",Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,"in fact, I am not sure, but it will be included to the national disability strategy and policy of ministry of public health.",Awareness raising;Patient transport and access;Treatment fees;Plaster of Paris and other materials;Foot Abduction Braces;Clinician Training;Parent advisors or support workers;Clinician salaries;Clinic space;Programme management/coordination;,Fully,"ICRC,HI,SCA,KOO","the big challenges highlighted are lack of parents' education, poor family economic situation to follow the treatment properly.",ICRC only,6,1041,646,194,44,37,14,63,14,29,Children presenting for treatment at any age,I am not able to provide this data,50-60%,676,335,130
"Ricardo Gutierrez, Children s Hospital",Argentina,There is a centrally coordinated network of clinics providing Ponseti treatment across part of the country,There is minimal support for clubfoot treatment provided within the national health system;,Not at all,Insufficient,In progress,Not at all,Insufficient,Not at all,Insufficient,Insufficient,Emerging,Emerging,Emerging,Insufficients,Maternity hospitals or units;Other patients (word of mouth);,none,Emerging,Insufficient,Insufficient,Insufficient,Emerging,Emerging,Not at all,Not at all,none,Plaster of Paris and other materials;Foot Abduction Braces;Clinician Training;Programme management/coordination;,About half,none,Politics,Group or network of clinics ,5,250,120,80,25,15,8,1,1,0,Children presenting for treatment at any age,80-90%,90-100%,200,,
Wigmore Women's and Children's Hospital,Armenia,There is a centrally coordinated network of clinics providing Ponseti treatment across part of the country,All aspects of clubfoot treatment are provided as part of routine care within the national health system;,Established,Established,Established,Established,Established,Established,Emerging,Emerging,Established,Established,Established,Emerging,Maternity hospitals or units;,In some patient when club foot is detected during the pregnacy (by ultrasound) are referred to the specialists before the birth of the child,Established,Emerging,Established,Established,Established,Emerging,Emerging,Not at all,,None;,Not at all,,Quality of plaster,Group or network of clinics ,3,43,43,0,0,0,0,0,0,0,Children presenting for treatment at any age,90-100%,90-100%,39,35,
,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,2296,2252,34,8,2,0,0,0,0,Children presenting for treatment at any age,0.99,90-100%,2232,1704,
world pediatric project,Belize,There is a centrally coordinated network of clinics providing Ponseti treatment across part of the country,Some aspects of clubfoot treatment are provided as part of routine care within the national health system;,In progress,Insufficient,Insufficient,In Progress,Established,Emerging,Established,Established,In progress,In progress,Don't know,Established,Community awareness programme;Birth defects screening service;New born screening service;,We have an MOU with the GOB in place however it needs to be revisited as many of the key players are no longer involved ,Don't know,In progress,Established,Established,Established,Established,Don't know,Don't know,,Awareness raising;Treatment fees;Plaster of Paris and other materials;Foot Abduction Braces;Clinician Training;Clinician salaries;,Fully,,Sourcing materials and new casters to train ,Region,6,6,6,,,,,,,,Children presenting for treatment at any age,60-70%,10-20%,2,0,0
,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26,23,0,0,0,0,3,0,0,Children presenting for treatment at any age,0.73,1,35,43,
,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,29,13,10,5,0,9,3,0,Children presenting for treatment at any age,0.7,1,36,7,
Hope Walks,Burkina Faso,Don't know,There is an MOU or other type of agreement with the MoH but they are not actively involved in the strategic leadership of the clubfoot programme;,Established,In progress,Insufficient,Established,Established,Established,Insufficient,In progress,In progress,Insufficients,Insufficients,Insufficients,Maternity hospitals or units;Other patients (word of mouth);Community awareness programme;,EDR is implemented in each of the 7 clinics health districts in collaboration with Regional Health system. FABs are produced through Hope Walks support and distributed to all the 7 clinics according to their need expressed to the clubfoot program staff. Casting supplies are provided by Hope Walks Clubfoot Program to 6 among the 7 clinics. HI (Humanity & Inclusion) and MOH provides casting supplies to 1 clinic among the 7. The program staff is under Hope Walks but working closely with MOH.,Emerging,Emerging,Emerging,In progress,Emerging,Emerging,Emerging,In progress,The national strategy for Physical and rehabilitation strategic plan has been adopted in 2023 and includes clubfoot.,"Awareness raising;Early Detection and Referral;Patient transport and access;Treatment fees;Plaster of Paris and other materials;Foot Abduction Braces;Clinician Training;Parent advisors or support workers;Programme management/coordination;Posters, Scissors, Buckets, Tables & chairs for Parent Advisors...;",Fully,Hope Walks provides full support (funding and mentoring) for  6 clinics among the 7 and HI provides support (only funding) for 1 clinic.,"Not enough physios in the country
Insecurity in some regions
MOH engagement to include clubfoot as a top priority.",Whole country,7,292,217,38,16,6,3,7,2,0,Children from 0 to 5 years of age,80-90%,50-60%,233,,
Hope Walks. In Burundi Hope Walks is affiliated with RCPHB in providing clubfoot care,Burundi,There is a centrally coordinated network of clinics providing Ponseti treatment across the entire country,There is an MOU or other type of agreement with the MoH but they are not actively involved in the strategic leadership of the clubfoot programme;,Not at all,Insufficient,Not at all,Established,In Progress,Established,Not at all,Established,Established,Emerging,Emerging,Emerging,New born screening service;Community awareness programme;Maternity hospitals or units;,"Hope Walks is the only organization that is locally providing coordination, treatment provision, FABs, workforce development and EDR. Hope Walks in Burundi is working with an implementing partner as it is not a legally registered entity in Burundi and all clubfoot treatment aspects are covered within the affiliation agreement. However there is a partnership agreement signed between the MOH and the implementing organization that grants full access to the health facilities for sensitization activities and EDR. Thanks to the said partnership agreement, it has been possible to develop a platform for an sms campaign that is reaching many people at the same time.  The MOH also has  4 health facilities that are participating in treatment as partner clubfoot clinics. Apart from the highlighted areas, the MOH has no other tangible contribution in clubfoot care.",Insufficient,Insufficient,Insufficient,Emerging,Insufficient,In progress,Don't know,Don't know,Policies and strategies  related to clubfoot treatment and service are developed within the framework provided by Hope Walks through the country clubfoot program.,"Awareness raising;Early Detection and Referral;Patient transport and access;Programme management/coordination;Clinic space;Parent advisors or support workers;Clinician Training;Foot Abduction Braces;Plaster of Paris and other materials;Treatment fees;Parent education/counseling, Parent advisors’ allowances, Clinical and medical director allowances.;",Fully,Parent education/Counseling Parent advisors allowances Clinical and medical director allowances. ,"• The lack of involvement from government/MHO entities
• The lack of involvement from other stakeholders involved in MCH care
• Distances from home to clinics
• Poverty
• Inflation
• Repetitive fuel shortage
• Clubfoot care inclusion MCH care and in strategic priorities
• Periodic in-country and regional instability/security issues",Whole country,9,506,468,18,12,2,3,2,1,0,Under 2 years of age only,90-100%,50-60%,463,,
Next Steps Cambodia,Cambodia,There is a centrally coordinated network of clinics providing Ponseti treatment across part of the country,There is minimal support for clubfoot treatment provided within the national health system;There is an MOU or other type of agreement with the MoH but they are not actively involved in the strategic leadership of the clubfoot programme;,Insufficient,Emerging,Emerging,Established,Established,Established,Insufficient,Insufficient,In progress,Insufficients,Insufficients,Insufficients,New born screening service;Community awareness programme;Maternity hospitals or units;,"Clubfoot clinics supported by NextSteps are operating with the goodwill of the particular hospital's leadership and/or the particular surgeons and physiotherapists working in the hospitals wanting to treat clubfoot. So to that extent, there is little integration, but we are working to increase the commitment of the health system for clubfoot treatment. ",Insufficient,Established,Established,Don't know,Don't know,Established,Established,Not at all,"There isn't now a clubfoot-specific government policy or plan. In their field, non-governmental organizations do exist, but with the assistance of nearby public health providers or similar entities.",Awareness raising;Early Detection and Referral;Patient transport and access;Treatment fees;Plaster of Paris and other materials;Foot Abduction Braces;Clinician Training;Parent advisors or support workers;Programme management/coordination;,More than half but not fully,,"The most challenging is transport costs for the parents who need to bring the child to clinics, in particular for remote, rural, and poor families. Parents may move over the years of treatment for work, and we may lose contact or other family members staying, which children do not bring to clinics. After one or two years, the families think the feet are fixed and do not have time or resources to continue treatment. ","1. National Paediatric Hospital, 2 Angkor for Children hospital, 3 Jayavarman VII​ hospitals, 4 Kampong Cham provincial hospital, 5 Kratie provincial hospital, 6 Steung Treng provincial hospital, 7 Battambang provincial hospital and 8 Poipet district hospital ",8,152,136,5,0,1,0,1,2,1, , , , ,, 
Cameroon Baptist Convention Health Services,Cameroon,There is a centrally coordinated network of clinics providing Ponseti treatment across part of the country,There is an MOU or other type of agreement with the MoH and they are actively involved in the strategic leadership of the clubfoot programme;Some aspects of clubfoot treatment are provided as part of routine care within the national health system;,Insufficient,Emerging,Not at all,Insufficient,In Progress,Established,In progress,Insufficient,In progress,Insufficients,Insufficients,Insufficients,Maternity hospitals or units;Community awareness programme;Other patients (word of mouth);,"Clubfoot service delivery is coordinated by a technical working group put in place by ministry of health. Treatment quality is ensured by the Cameroon Clubfoot Care Project which is coordinated by the Cameroon Baptist Convention Health Services. A module on Clubfoot treatment has been integrated into the training curriculum of nurse, midwives, physiotherapists and physicians.
Annually, practicing nurses and midwives are trained on EDR.",Insufficient,Insufficient,Don't know,Don't know,Don't know,Insufficient,Not at all,Don't know,,Awareness raising;Early Detection and Referral;Patient transport and access;Treatment fees;Plaster of Paris and other materials;Foot Abduction Braces;Clinician Training;Programme management/coordination;,About half,None,"Scarcity of treatment material, Limited manpower to diagnose and treat clubfoot, limited EDR skills of many nurses and midwives, most parts of the country do not have clubfoot clinics. ",Whole country,23,341,260,54,9,3,9,5,3,2,Children presenting for treatment at any age,80-90%,70-80%,314,,
ADRBE (MIRACLEFEET),"Congo, Rep.",There is a centrally coordinated network of clinics providing Ponseti treatment across the entire country,Some aspects of clubfoot treatment are provided as part of routine care within the national health system;There is an MOU or other type of agreement with the MoH but they are not actively involved in the strategic leadership of the clubfoot programme;,Established,Insufficient,Not at all,Established,Established,Established,Not at all,Established,Established,In progress,Established,Established,Maternity hospitals or units;Other patients (word of mouth);Community awareness programme;,"A l'étape actuel ,le traitement pied bot est intégré dans 6 hôpitaux ,3 Centres de rééducation fonctionnelle de l'état .
La Coordination est faite par l'ADRBE initiatrice du programme pied bot au Congo, elle soutient les cliniques en  consommable( Bande plâtre , Attelle et consommable de ténotomie ) ceux ci avec le soutient de Miraclefeet. ",Established,Established,Established,Established,Established,Established,Insufficient,Don't know,Une commission est entrain de travailler sur l'intégration du traitement  PONSETI  dans les écoles et le système National de santé,"Awareness raising;Early Detection and Referral;Patient transport and access;Treatment fees;Plaster of Paris and other materials;Foot Abduction Braces;Clinician Training;Parent advisors or support workers;Clinician salaries;Clinic space;Programme management/coordination;Les prestataires '(fonctionnaires ),sont supportent p:des  hôpitaux et centres de rééducation fonctionnel l'état ;",Not at all,Soutenir les parents des patients dans le transport pour éviter le abandons aux traitements ,Le défis le plus important est le soutien financier  et gouvernemental,Whole country,11,128,92,17,5,3,0,5,0,0, , , , , , 
Hope Walks,"Congo, Dem. Rep.",There is a centrally coordinated network of clinics providing Ponseti treatment across part of the country,There is minimal support for clubfoot treatment provided within the national health system;,In progress,Established,Not at all,Established,Established,Established,Insufficient,Established,Established,Insufficients,Insufficients,Insufficients,New born screening service;Birth defects screening service;Maternity hospitals or units;,Health care providers are paid by the government. Churches are involved in EDR,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,,Awareness raising;Early Detection and Referral;Patient transport and access;Treatment fees;Plaster of Paris and other materials;Foot Abduction Braces;Clinician Training;Parent advisors or support workers;,"Some support is provided, but less than half",Motivation of healthcare providers in terms of incentives; Awareness to reach out more individuals,"Security problem;
Poor infrastructure (roads, telecommunication, etc)",Group or network of clinics ,22,1297,1040,145,55,23,20,19,0,2,Under 2 years of age only,90-100%,60-70%,576,,
Fundacion Piecitos Valientes,Costa Rica,There is a centrally coordinated network of clinics providing Ponseti treatment across part of the country,Some aspects of clubfoot treatment are provided as part of routine care within the national health system;,Insufficient,Insufficient,In progress,Emerging,Emerging,In Progress,Insufficient,Insufficient,Insufficient,Insufficients,Insufficients,Insufficients,Other patients (word of mouth);,"The treatment provision is centralized,in the capital city and the here is a long wait to be treated.
The foundation provides the Mitchell braces which have high quality approximately 70%, the rest of patients receive the Dennis Brown braces from the national system  which do not always fulfil with quality standards.
Few staff trained in the ponseti method
Late initiation of treatment due to lack of hospital capacity to provide treatment
Little openness to support programs by the central hospital that receives the majority of patients.",Emerging,In progress,Emerging,Insufficient,In progress,Established,In progress,Don't know,Policies for the treatment of clubfoot in Costa Rica are very limited due to the lack of expansion and decentralization of treatment and the lack of trained specialists.,Foot Abduction Braces;Awareness raising;Parent advisors or support workers;Programme management/coordination;,Fully,,"Thanks to the support we have from the NGO we can have first-world treatment since in countries like Costa Rica, it is almost impossible to obtain them. These brace reduce recurrences in children under five years old","The rest of patients receive treatment with private doctors, and others do not receive braces from our foundaiton. ",2,50,25,,8,13,4,,,,Children presenting for treatment at any age,20-30%,50-60%,27,,
Hope Walks,Dominican Republic,There is no central coordination of clinics providing Ponseti treatment,There is an MOU or other type of agreement with the MoH but they are not actively involved in the strategic leadership of the clubfoot programme;,Insufficient,Insufficient,In progress,Established,Established,Established,Not at all,Emerging,Established,Insufficients,Insufficients,Insufficients,New born screening service;Maternity hospitals or units;Other patients (word of mouth);,"The Fabs are 100% integrated, fully covered and provisioned by Hope Walks.  EDRs are being introduced, at this stage we are at 25%.
 ",In progress,In progress,In progress,In progress,In progress,In progress,Don't know,Don't know,"Dr. César Roque, general director of Darío Contreras hospital, and Dr. Vidal Morales, clubfoot orthopedic pediatric surgeons, they submitted to the MOH the project of adding clubfoot to the health service portfolio.",Awareness raising;Early Detection and Referral;Patient transport and access;Treatment fees;Plaster of Paris and other materials;Foot Abduction Braces;Clinician Training;Parent advisors or support workers;Programme management/coordination;,More than half but not fully,"Other support is from the Church community, the church has collaborated with some patients, donating the AFOs which are very expensive and some parents cannot purchase them. Also, the church contributes with humanitarian aid (raising funds for a mother in the program who does not have any type of support from her family (buying house furniture: stove, refrigerator, contributions for the children and milk for the baby) (birthday celebrations) / socks donations for patients from 0 to 4 months","The lack of economic resources.
Many parents who do not have medical insurance, when the tenotomy has to be performed, they require certain medical studies and check-ups from some specialists and don´t have the money, this has caused some patients to abandon the treatment.
Sometimes they get an appointment with some specialists, for example, a pediatric cardiologist in a public hospital but not all of them can get an appointment soon; which implies a setback in treatment, a private consultation can be up to 4 thousand Dominican pesos, which is very difficult for parents.
This is our biggest challenge.",Whole country,2,227,155,26,17,6,10,12,1,0,below 5 years,90-100%,40-50%,117,85,58
Fundacion Hermano Miguel,Ecuador,There is no central coordination of clinics providing Ponseti treatment,There is minimal support for clubfoot treatment provided within the national health system;,Insufficient,Insufficient,Emerging,Not at all,Insufficient,Emerging,Not at all,Not at all,Not at all,Not at all,Not at all,Insufficients,Community awareness programme;Other patients (word of mouth);Maternity hospitals or units;,There is no public pev program in Ecuador,In progress,Emerging,Emerging,In progress,Emerging,Insufficient,Insufficient,Insufficient,,Awareness raising;Early Detection and Referral;Patient transport and access;Treatment fees;Plaster of Paris and other materials;Foot Abduction Braces;Clinician Training;Parent advisors or support workers;Clinician salaries;Clinic space;Programme management/coordination;,More than half but not fully,"In Ecuador, NGOs are the ones that work on the treatment of PEV, the State does not reach 5% of their collaboration",There are no committed doctors who want to dedicate themselves to treatment with the Ponseti method,Group or network of clinics ,5,153,104,12,7,6,0,19,5,0,Children presenting for treatment at any age,80-90%,90-100%,125,118,
On His Path,El Salvador,There is a centrally coordinated network of clinics providing Ponseti treatment across the entire country,Some aspects of clubfoot treatment are provided as part of routine care within the national health system;,In progress,Established,In progress,Established,Established,Established,Insufficient,Insufficient,Emerging,In progress,In progress,Emerging,Maternity hospitals or units;,"Materials for casting, and FABs are provided by On His Path, the public hospitals provide the space to treat the children, also the orthopedic doctor and other trained health professional  and all the materials needed for the tenotomy. We had socialized the attention of clubfoot patients with the maternity units for early detection and referral in the four hospitals we work with.",Emerging,Emerging,In progress,In progress,Emerging,Emerging,Emerging,Don't know,I think they are all covered,Awareness raising;Plaster of Paris and other materials;Foot Abduction Braces;Clinician Training;Programme management/coordination;Parent advisors or support workers;,Fully,Close accompaniment by NGOs with parents is very important to remain attached to the treatment.,"There are few orthopedic professionals who are committed to treat clubfoot patients
unfavorable economic conditions of the family do not allow them to go to the clinic every week
lack of parental commitment to continuing treatment
In many cases they do not return the braces for recycling,
Much variation in parents' telephone numbers, due to the cheap availability of obtaining telephone chips.",Whole country,4,112,112,,,,,,,,Children presenting for treatment at any age,I am not able to provide this data,80-90%,99,,
Hope Walks,Ethiopia,There is a centrally coordinated network of clinics providing Ponseti treatment across the entire country,There is an MOU or other type of agreement with the MoH but they are not actively involved in the strategic leadership of the clubfoot programme;,Established,Established,Not at all,Established,Established,Established,Insufficient,Insufficient,Insufficient,Emerging,Emerging,In progress,Community awareness programme;Maternity hospitals or units;Other patients (word of mouth);,We conducted EDR with FMOH during the Measles SIA campaign ,Established,Established,Established,Established,Established,Established,Established,Established,,Awareness raising;Early Detection and Referral;Patient transport and access;Treatment fees;Clinician salaries;Parent advisors or support workers;Clinician Training;Foot Abduction Braces;Plaster of Paris and other materials;Programme management/coordination;Second staff assignment;,More than half but not fully,,,Whole country,59,2689,2516,256,120,52,45,67,8,2,Under 2 years of age only,90-100%,70-80%,1766,,
University hospital center mother child Jeanne Ebori Foundation,Gabon,There is no central coordination of clinics providing Ponseti treatment,There is minimal support for clubfoot treatment provided within the national health system;,Not at all,Established,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Established,Not at all,Insufficients,Insufficients,Other patients (word of mouth);Maternity hospitals or units;,There is no program for the management of club foot,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,no more,nothing;,Not at all,,"Early Detection and Referral
Acquisition plaster of Paris  and Foot Abduction Brace
Clinician training",Single clinic ,0,10,5,5,0,0,0,0,0,0,Children presenting for treatment at any age,80-90%,70-80%,2,0,0
Hope Walks/ Christian Health Association of Ghana,Ghana,There is a centrally coordinated network of clinics providing Ponseti treatment across part of the country,There is minimal support for clubfoot treatment provided within the national health system;,Insufficient,Insufficient,Not at all,Insufficient,Established,Established,Insufficient,Not at all,Established,Insufficients,Insufficients,Not at all,Radio and TV programmes;Community awareness programme;,"Clubfoot treatment provision, FABS, workforce development and EDR are currently being fully funded by an NGO called Hope Walks. Interactions are ongoing in order to integrate clubfoot into the national health system. The Christian Health Association of Ghana(  an agency of the MOH) has partnered with Hope Walks in providing free treatment for children (under 2years) with clubfoot in 6 clinics across the country. ",Emerging,Insufficient,Not at all,Emerging,Not at all,Insufficient,Insufficient,Not at all,,"Awareness raising;Early Detection and Referral;Patient transport and access;Treatment fees;Plaster of Paris and other materials;Foot Abduction Braces;Clinician Training;Parent advisors or support workers;Programme management/coordination;World clubfoot Celebration, Training of church leaders in disability inclusion;",Fully,,"Lack of awareness about clubfoot and treatment centers
Number of clinics inadequate for the whole country
Inadequate trained staff
Staff turn over
Long distance travels by patient families to access care with bad road networks
Financial challenges",Group or network of clinics ,6,294,232,36,14,5,3,4,0,0,Under 2 years of age only,90-100%,40-50%,207,,
Gambia Clubfoot Foundation ,"Gambia, The",There is a centrally coordinated network of clinics providing Ponseti treatment across part of the country,There is an MOU or other type of agreement with the MoH but they are not actively involved in the strategic leadership of the clubfoot programme;,Insufficient,Insufficient,Established,Established,Established,Established,Established,Established,Established,Insufficients,Not at all,Not at all,Community awareness programme;Maternity hospitals or units;Birth defects screening service;,"In the Gambia, clubfoot treatment program is Coordinated by a charitable foundation, that supports  the established clubfoot clinic in partnership with the Ministry of health.  The entire clubfoot treatment process are Coordinated at foundation level. Distribution of FAB are Coordinated by the the team of volunteers with treatment providers with government hospitals clubfoot treatment are conducted.  Clubfoot treatment integration strategies are in place, but taken slow to be fully implemented due to Ministry of Health low involvement. ",Insufficient,Not at all,Not at all,Insufficient,Insufficient,Emerging,Not at all,Not at all,"In the Gambia there are not serious policy  or strategies at national level to support  clubfoot services delivery.  Everything is done by  the independent charitable foundation,  with funding support from Miraclefeet.  Without Miraclefeet funding 113 new babies born with clubfoot annually would not have the chance to access treatment.  ",Awareness raising;Patient transport and access;Treatment fees;Plaster of Paris and other materials;Foot Abduction Braces;Clinician Training;Parent advisors or support workers;Programme management/coordination;,More than half but not fully,We would love  to have all aspects of our activities be fully funded particularly EDR activities and clinicans monthly wages as an incentive to keep them active on the program ,"Lack of mobility,  we are not able to reach certain communities on the campaign, because we don't have a vehicle to coordinate well our community outreach events.  Funding received from Miraclefeet doesn't cover mobility issues only focus on treatment materials, basic coordination fee, some advocacy materials  and small office expenses ",Region,3,87,46,1,3,6,0,11,6,8,Children presenting for treatment at any age,0.95,1,45,9,
,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,89,12,5,9,0,18,4,1,Children presenting for treatment at any age,0.6,0.93,113,69,
